S.N,Company Name,Website,LinkedIn
1,AlphaTeds,https://alphateds.com/,https://www.linkedin.com/company/alphateds/
2,AMNIL Technologies,http://www.amniltech.com,https://www.linkedin.com/company/amnil-technologies/
3,Angelswing,https://angelswing.io/en,https://www.linkedin.com/company/angelswing/
4,Apex Machine Learning,https://apexmlsolutions.com/,https://www.linkedin.com/company/apex-machine-learning/
5,Armis Tech,https://armis-tech.com/,https://www.linkedin.com/company/armistech/
6,Asterdio,https://asterdio.com/,https://www.linkedin.com/company/asterdio/
7,Axiom Digital Intelligence,https://axiomdi.com/,https://www.linkedin.com/company/axiom-digital-intelligence/
8,Bajra Technologies,https://bajratechnologies.com,https://www.linkedin.com/company/bajratechnologies/
9,Blys,https://getblys.com,https://www.linkedin.com/company/blys-hq/
10,Bottle Technology,https://bottle.tech/,https://www.linkedin.com/company/bottle-technology/
11,BrainTip AI,https://braintip.ai/,https://www.linkedin.com/company/braintip-ai/
12,BSAI Techno Sales,https://www.bsaitechnosales.com/,https://www.linkedin.com/company/bsaitechnosales/
13,Bytes N Chips Software,https://www.bytesnchips.com/,https://www.linkedin.com/company/bytes-n-chips-software/
14,Catalyst Innovations,https://catalystinnovations.com.np/,https://www.linkedin.com/company/catalyst-innovations/
15,Chulo Solution,https://namespace.jp/company?ref=chulosolutions,https://www.linkedin.com/company/chulo-solution/
16,Cloudfactory,https://www.cloudfactory.com.np/,https://www.linkedin.com/company/cloudfactory-com/
17,Cotiviti,http://www.cotiviti.com,https://www.linkedin.com/company/cotiviti/
18,Crimson Tech,https://crimsontech.io/,https://www.linkedin.com/company/crimson-tech-nepal/
19,Cubit Inc.,https://www.cubit.com.np/,https://www.linkedin.com/company/cubit-incorporated/
20,DataVision Networks,https://datavisionnetworks.com/,https://www.linkedin.com/company/datavision-networks/
21,Deerhold,https://deerhold.com/,https://www.linkedin.com/company/deerhold/
22,Diyo.AI,https://diyo.ai/,https://www.linkedin.com/company/diyoai/
23,DLytica Inc,https://www.dlytica.com/,https://www.linkedin.com/company/dlytica/
24,Docsumo,https://www.docsumo.com/,https://www.linkedin.com/company/docsumoai/
25,EB Pearls,https://ebpearls.com.au/,https://www.linkedin.com/company/eb-pearls/
26,Ekbana Solutions,https://www.ekbana.com/,https://www.linkedin.com/company/ekbana-solutions-pte--ltd/
27,Ensemble Matrix,,https://www.linkedin.com/company/ensemblematrix/
28,eXtenso Data,https://www.extensodata.com/,https://www.linkedin.com/company/extensodata/
29,Eydean,https://eydean.com/,https://www.linkedin.com/company/eydeaninc/
30,F1Soft International,http://www.f1soft.com,https://www.linkedin.com/company/f1softgroup/
31,Fuse Machines,https://fusemachines.com/,https://www.linkedin.com/company/fusemachines/
32,GritFeat Solutions,https://www.gritfeat.com/,https://www.linkedin.com/company/gritfeat-solutions/
33,GrowByData,https://growbydata.com/,https://www.linkedin.com/company/growbydata/
34,iBriz.ai,,https://www.linkedin.com/company/ibriz-ai/
35,Identv Nepal,https://nepal.identv.com/,https://www.linkedin.com/company/identvnepal/
36,Info Developers,https://infodev.com.np/,https://www.linkedin.com/company/infodevelopers-pvt-ltd/
37,Innate Design Solution,,https://www.linkedin.com/company/innate-design-solution-pvt-ltd/
38,Inspiring Lab,https://inspiringlab.com.np/,https://www.linkedin.com/company/inspiring-lab/
39,Intellisync Technologies,https://intellisynctech.com/,https://www.linkedin.com/company/intellisync-technologies/
40,Jamun Tek,,https://www.linkedin.com/company/jamuntek/
41,Leapfrog Technology,https://www.lftechnology.com/,https://www.linkedin.com/company/lftechnology/
42,Lis Nepal,https://lisnepal.com.np/,https://www.linkedin.com/company/lis-nepal-pvt-ltd/
